Edad;Sexo;Valor;Data;Tipo
19 años;Hombres;214739;Absolutos;Españoles
20 años;Hombres;216383;Absolutos;Españoles
21 años;Hombres;209116;Absolutos;Españoles
22 años;Hombres;202816;Absolutos;Españoles
23 años;Hombres;203788;Absolutos;Españoles
24 años;Hombres;200199;Absolutos;Españoles
25 años;Hombres;200361;Absolutos;Españoles
26 años;Hombres;202233;Absolutos;Españoles
27 años;Hombres;209567;Absolutos;Españoles
28 años;Hombres;214540;Absolutos;Españoles
29 años;Hombres;213841;Absolutos;Españoles
30 años;Hombres;214716;Absolutos;Españoles
31 años;Hombres;218044;Absolutos;Españoles
32 años;Hombres;221490;Absolutos;Españoles
33 años;Hombres;224364;Absolutos;Españoles
34 años;Hombres;230466;Absolutos;Españoles
35 años;Hombres;239639;Absolutos;Españoles
36 años;Hombres;250083;Absolutos;Españoles
37 años;Hombres;260389;Absolutos;Españoles
38 años;Hombres;276768;Absolutos;Españoles
39 años;Hombres;292405;Absolutos;Españoles
40 años;Hombres;307915;Absolutos;Españoles
41 años;Hombres;320589;Absolutos;Españoles
42 años;Hombres;339190;Absolutos;Españoles
43 años;Hombres;346968;Absolutos;Españoles
44 años;Hombres;355322;Absolutos;Españoles
45 años;Hombres;355441;Absolutos;Españoles
46 años;Hombres;353594;Absolutos;Españoles
47 años;Hombres;347316;Absolutos;Españoles
48 años;Hombres;345834;Absolutos;Españoles
49 años;Hombres;341763;Absolutos;Españoles
50 años;Hombres;335643;Absolutos;Españoles
51 años;Hombres;332524;Absolutos;Españoles
52 años;Hombres;329363;Absolutos;Españoles
53 años;Hombres;332791;Absolutos;Españoles
54 años;Hombres;326686;Absolutos;Españoles
55 años;Hombres;323228;Absolutos;Españoles
56 años;Hombres;327182;Absolutos;Españoles
57 años;Hombres;310841;Absolutos;Españoles
58 años;Hombres;298755;Absolutos;Españoles
59 años;Hombres;291940;Absolutos;Españoles
60 años;Hombres;291345;Absolutos;Españoles
61 años;Hombres;283188;Absolutos;Españoles
62 años;Hombres;275143;Absolutos;Españoles
63 años;Hombres;266916;Absolutos;Españoles
64 años;Hombres;246343;Absolutos;Españoles
65 años;Hombres;237895;Absolutos;Españoles
66 años;Hombres;223966;Absolutos;Españoles
67 años;Hombres;224290;Absolutos;Españoles
68 años;Hombres;221609;Absolutos;Españoles
69 años;Hombres;204583;Absolutos;Españoles
70 años;Hombres;196528;Absolutos;Españoles
71 años;Hombres;201490;Absolutos;Españoles
72 años;Hombres;207634;Absolutos;Españoles
73 años;Hombres;185545;Absolutos;Españoles
74 años;Hombres;173296;Absolutos;Españoles
75 años;Hombres;178268;Absolutos;Españoles
76 años;Hombres;164768;Absolutos;Españoles
77 años;Hombres;158092;Absolutos;Españoles
78 años;Hombres;131699;Absolutos;Españoles
79 años;Hombres;117032;Absolutos;Españoles
80 años;Hombres;137740;Absolutos;Españoles
81 años;Hombres;83773;Absolutos;Españoles
82 años;Hombres;91412;Absolutos;Españoles
83 años;Hombres;97029;Absolutos;Españoles
84 años;Hombres;97577;Absolutos;Españoles
85 años;Hombres;88174;Absolutos;Españoles
86 años;Hombres;79229;Absolutos;Españoles
87 años;Hombres;72067;Absolutos;Españoles
88 años;Hombres;62904;Absolutos;Españoles
89 años;Hombres;51432;Absolutos;Españoles
90 años;Hombres;42325;Absolutos;Españoles
91 años;Hombres;33068;Absolutos;Españoles
92 años;Hombres;26032;Absolutos;Españoles
93 años;Hombres;18831;Absolutos;Españoles
94 años;Hombres;14243;Absolutos;Españoles
95 años;Hombres;9934;Absolutos;Españoles
96 años;Hombres;7160;Absolutos;Españoles
97 años;Hombres;4932;Absolutos;Españoles
98 años;Hombres;3180;Absolutos;Españoles
99 años;Hombres;2051;Absolutos;Españoles
100 años y más;Hombres;3933;Absolutos;Españoles
0 años;Hombres;26320;Absolutos;Extranjeros
1 año;Hombres;28481;Absolutos;Extranjeros
2 años;Hombres;26651;Absolutos;Extranjeros
3 años;Hombres;27809;Absolutos;Extranjeros
4 años;Hombres;29184;Absolutos;Extranjeros
5 años;Hombres;28998;Absolutos;Extranjeros
6 años;Hombres;29003;Absolutos;Extranjeros
7 años;Hombres;27151;Absolutos;Extranjeros
8 años;Hombres;26816;Absolutos;Extranjeros
9 años;Hombres;26080;Absolutos;Extranjeros
10 años;Hombres;26150;Absolutos;Extranjeros
11 años;Hombres;25765;Absolutos;Extranjeros
12 años;Hombres;24995;Absolutos;Extranjeros
13 años;Hombres;22722;Absolutos;Extranjeros
14 años;Hombres;22166;Absolutos;Extranjeros
15 años;Hombres;22084;Absolutos;Extranjeros
16 años;Hombres;23315;Absolutos;Extranjeros
17 años;Hombres;24902;Absolutos;Extranjeros
18 años;Hombres;28040;Absolutos;Extranjeros
19 años;Hombres;31594;Absolutos;Extranjeros
20 años;Hombres;33836;Absolutos;Extranjeros
21 años;Hombres;35425;Absolutos;Extranjeros
22 años;Hombres;37560;Absolutos;Extranjeros
23 años;Hombres;40483;Absolutos;Extranjeros
24 años;Hombres;42643;Absolutos;Extranjeros
25 años;Hombres;45896;Absolutos;Extranjeros
26 años;Hombres;48837;Absolutos;Extranjeros
27 años;Hombres;50829;Absolutos;Extranjeros
28 años;Hombres;53053;Absolutos;Extranjeros
29 años;Hombres;53732;Absolutos;Extranjeros
30 años;Hombres;56008;Absolutos;Extranjeros
31 años;Hombres;56790;Absolutos;Extranjeros
32 años;Hombres;58221;Absolutos;Extranjeros
33 años;Hombres;58697;Absolutos;Extranjeros
34 años;Hombres;58474;Absolutos;Extranjeros
35 años;Hombres;59263;Absolutos;Extranjeros
36 años;Hombres;60579;Absolutos;Extranjeros
37 años;Hombres;60978;Absolutos;Extranjeros
38 años;Hombres;63580;Absolutos;Extranjeros
39 años;Hombres;63705;Absolutos;Extranjeros
40 años;Hombres;66120;Absolutos;Extranjeros
41 años;Hombres;63643;Absolutos;Extranjeros
42 años;Hombres;62938;Absolutos;Extranjeros
43 años;Hombres;61513;Absolutos;Extranjeros
